"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1966698007908204874","Mon Sep 15 11:04:31 +0000 2025","0","@roblox_fess sm si bocyillll https://t.co/dQcNNM5ArO","1967545057692782869","https://pbs.twimg.com/media/G04fzKYaAAAxsjP.jpg","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967545057692782869","3655507873",
"1967438081234997268","Mon Sep 15 11:04:27 +0000 2025","0","@sinsteaIer @roblox_fess okaay noted makasih ya kakk","1967545040525517111","","sinsteaIer","in","","0","0","0","https://x.com/undefined/status/1967545040525517111","1214866707031789569",
"1967478305642119172","Mon Sep 15 11:04:23 +0000 2025","0","@bochanbyun @roblox_fess Aku juga kepikiran gini","1967545024553656779","","bochanbyun","in","","0","0","0","https://x.com/undefined/status/1967545024553656779","1323801858637361153",
"1967545010989003206","Mon Sep 15 11:04:20 +0000 2025","59","!roblox Guys tolong saran gunung medium level yang gak terlalu susah bisa carry gak banyak cpnya tapi bagus buat spot foto dong! Makasih!","1967545010989003206","","","in","","0","25","1","https://x.com/undefined/status/1967545010989003206","1903872646678470656",
"1967538875854667833","Mon Sep 15 11:04:18 +0000 2025","0","@roblox_fess P apa njir","1967545001866674209","","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967545001866674209","1898709626058891264",
"1967438081234997268","Mon Sep 15 11:04:17 +0000 2025","0","@onlyhaeeee @roblox_fess oalah makasih infonya kakk","1967544999018737790","","onlyhaeeee","in","","0","0","0","https://x.com/undefined/status/1967544999018737790","1214866707031789569",
"1967544938989850741","Mon Sep 15 11:04:03 +0000 2025","0","gua juga sebagai pemain roblox dari 2017 jadi agak gimana liat banyak oknum di roblox *btw itu waktu smp gua iseng bikin channel yt sama temen gua bertiga wkwkwk (bikin channel masing masing) https://t.co/tkT7GNnF1z","1967544938989850741","https://pbs.twimg.com/media/G04fsfhaUAEOzGi.jpg","","in","","0","0","0","https://x.com/undefined/status/1967544938989850741","1257445449495011328",
"1967544881662062765","Mon Sep 15 11:03:49 +0000 2025","0","w kl tiktok dari 2021 dah gak install lagi roblox juga tw batasan jam main TP TWITTER INI YANG SUSAH..... AK GK BS BERNAPAS TNP TWITTER....","1967544881662062765","","","in","","0","0","0","https://x.com/undefined/status/1967544881662062765","1508319335164805123",
"1967372196596404617","Mon Sep 15 11:03:32 +0000 2025","0","@f2irew njir basis roblox kh","1967544807737507866","","f2irew","in","","0","0","0","https://x.com/undefined/status/1967544807737507866","1944969781603655680",
"1967544791262187635","Mon Sep 15 11:03:28 +0000 2025","0","hai teman-teman yang punya tik tok khusus !roblox mutualan yuk","1967544791262187635","","","in","","0","7","0","https://x.com/undefined/status/1967544791262187635","1903872646678470656",
"1967441182130053147","Mon Sep 15 11:03:25 +0000 2025","0","@yayaaaawww @roblox_fess ini kena di map apa kak","1967544780751315046","","yayaaaawww","in","","0","0","0","https://x.com/undefined/status/1967544780751315046","513733697",
"1966023349999460534","Mon Sep 15 11:03:21 +0000 2025","0","@tqete @mysticfforce @roblox_fess Pengen ganti ava tapi dari dulu udah ketempelan karakter cindy","1967544762464108958","","tqete","in","","0","0","0","https://x.com/undefined/status/1967544762464108958","1778069260495179776",
"1967544692893270451","Mon Sep 15 11:03:04 +0000 2025","0","woi ajg ahahah di deketin cowo roblox :V","1967544692893270451","","","in","","0","1","0","https://x.com/undefined/status/1967544692893270451","1678678419033436160",
"1967517559177019637","Mon Sep 15 11:02:58 +0000 2025","0","@roblox_fess kslo dikasih secret tuh otomatis bakal naik di leaderboard apa bakal tetep segitu2 aja deh?","1967544666850791760","","roblox_fess","in","","0","1","0","https://x.com/undefined/status/1967544666850791760","284927218",
"1967544638241476840","Mon Sep 15 11:02:51 +0000 2025","0","!Roblox cara agar akun tetap aman dari banned gmn ya? ngeri2 sedap jg kalo harus buat akun baru otomatis ava yg kita beli dg susah payah ilang:","1967544638241476840","","","in","","0","2","0","https://x.com/undefined/status/1967544638241476840","1903872646678470656",
"1967532222098948176","Mon Sep 15 11:02:49 +0000 2025","0","@roblox_fess Mauuuuu bgt plzz","1967544628737188214","","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967544628737188214","1838929340027002880",
"1967538190744502300","Mon Sep 15 11:02:48 +0000 2025","4","@roblox_fess gendut kaya prabowo","1967544625683652867","","roblox_fess","in","","0","3","0","https://x.com/undefined/status/1967544625683652867","1037149618339897344",
"1967433662955217382","Mon Sep 15 11:02:43 +0000 2025","0","@roblox_fess gunung fujii https://t.co/JbDKPZAHrX","1967544605001588785","https://pbs.twimg.com/media/G04fZBrbwAABuOF.jpg","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967544605001588785","1462759584209072131",
"1967541268784845281","Mon Sep 15 11:02:37 +0000 2025","0","@roblox_fess mw ikut donggg","1967544580473344397","","roblox_fess","in","","0","1","0","https://x.com/undefined/status/1967544580473344397","1927844448530223104",
"1967538875854667833","Mon Sep 15 11:02:32 +0000 2025","0","@roblox_fess P apa sih?","1967544556708360599","","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967544556708360599","1672837628331450374",
"1967541268784845281","Mon Sep 15 11:02:27 +0000 2025","0","@roblox_fess MAU MAU MAUU ayo ngerjain event bareeng","1967544537909436771","","roblox_fess","in","","0","1","0","https://x.com/undefined/status/1967544537909436771","1910248519958720512",
"1967441182130053147","Mon Sep 15 11:02:20 +0000 2025","0","@suka_ngoding @roblox_fess IYA LAGII ","1967544506292801662","","suka_ngoding","in","","0","0","0","https://x.com/undefined/status/1967544506292801662","513733697",
"1967477231380537740","Mon Sep 15 11:02:04 +0000 2025","0","@ouyunho Itu minggu kemarin capek bgt roblox mulu tuh bocah ","1967544438580035746","","ouyunho","in","","0","1","0","https://x.com/undefined/status/1967544438580035746","1476563340142936066",
"1967535347991994417","Mon Sep 15 11:01:58 +0000 2025","0","@roblox_fess Plz ayo horor ak mau tp gaberani kalo sendiri sksk","1967544415242870857","","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967544415242870857","1838929340027002880",
"1967541268784845281","Mon Sep 15 11:01:52 +0000 2025","0","@roblox_fess mau dong nder~","1967544390467129539","","roblox_fess","in","","0","1","0","https://x.com/undefined/status/1967544390467129539","743071507711021056",
"1967533900412178435","Mon Sep 15 11:01:51 +0000 2025","0","@Karnna Padahal Karnna Minjeongt gak main roblox apa udah saatnya?","1967544384746102863","","Karnna","in","","0","0","0","https://x.com/undefined/status/1967544384746102863","2954749274",
"1967541020649816166","Mon Sep 15 11:01:42 +0000 2025","1","@roblox_fess nitip mau ikut juga main ipet","1967544349148995614","","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967544349148995614","1364770895961550850",
"1967538063912943790","Mon Sep 15 11:01:40 +0000 2025","0","@roblox_fess Ayoo","1967544338306744558","","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967544338306744558","1838929340027002880",
"1966537513163497947","Mon Sep 15 11:01:37 +0000 2025","0","@DKyeommiiiii @roblox_fess Kaak mau tanya ini pake extension btroblox aman gak ya? Soalnya khawatir ngerubah price jadi global price Makasih sebelumnyaa","1967544326927581309","","DKyeommiiiii","in","","0","1","0","https://x.com/undefined/status/1967544326927581309","774394161483030530",
"1967473157771583820","Mon Sep 15 11:01:25 +0000 2025","0","@roblox_fess selamat y.","1967544275895521305","","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967544275895521305","1488358463285907458",
"1967541268784845281","Mon Sep 15 11:01:14 +0000 2025","0","@roblox_fess sendeer aku mau ikut doong!","1967544229741338649","","roblox_fess","in","","0","1","0","https://x.com/undefined/status/1967544229741338649","405653848",
"1967544206542725430","Mon Sep 15 11:01:08 +0000 2025","0","Gue masih GK Nerima kenyataan kematian Alan yu trus buka x munculnya anomali yg makin hari kyk babi emng mending gue maen roblox ke map gunung map Thailand ngobrol SMA orng Roblox dibanding liat tingkah anomali ini","1967544206542725430","","","in","","0","0","0","https://x.com/undefined/status/1967544206542725430","1522978457591844865",
"1967538190744502300","Mon Sep 15 11:01:04 +0000 2025","0","@roblox_fess Nitip barang kali ada yg need koin fish it atau ikan mutasi atau batu enchant aku ready bisa DM langsung https://t.co/AwISITLWNW","1967544189803278790","https://pbs.twimg.com/media/G04fA4UaEAA4COP.jpg","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967544189803278790","1688254234599514112",
"1967542837597356295","Mon Sep 15 11:00:50 +0000 2025","0","@thecupcat Ternyata Roblox gw","1967544131099705560","","thecupcat","in","","0","0","0","https://x.com/undefined/status/1967544131099705560","875365633289928704",
"1967540063010529402","Mon Sep 15 11:00:49 +0000 2025","0","@bfgrent Ayo! Udah lama banget aku nggak nonton any kind of movies karena kesibukan (main roblox) hEHEHEHE. Ada saran film thriller yang harus kita tonton nggak? atau kalau kamu juga bingung nanti aku bantu cari! Boleh check pinned aku ya? Takutnya kalau drop link nanti nggak muncul. :(","1967544125445849204","","bfgrent","in","","0","1","0","https://x.com/undefined/status/1967544125445849204","2294540341",
"1967544115220135965","Mon Sep 15 11:00:46 +0000 2025","0","Huftt padahal roblox seru tapi gapapa ayo temenan","1967544115220135965","","","in","","0","0","0","https://x.com/undefined/status/1967544115220135965","1722174175",
"1967203866765676808","Mon Sep 15 11:00:38 +0000 2025","0","@roblox_fess risih","1967544081556578370","","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967544081556578370","1144179104847056896",
"1967533139275731196","Mon Sep 15 11:00:25 +0000 2025","0","@daileeees @roblox_fess aku pake inii kakk^^ https://t.co/QjGFiEiTBY","1967544025357139984","https://pbs.twimg.com/media/G04e3CBb0AAp1Y1.jpg","daileeees","in","","0","1","0","https://x.com/undefined/status/1967544025357139984","1073873047864586241",
